lh,rh,ls,rs,w,ll,rl
65.7,71.7,1221.24,1426.88,140,116.8,176
63.3,70.3,1215.96,1575.84,139,116.8,178.6666667
61.9,70.8,1728.96,2028.6,139,117.2,177.6666667
59.5,70.5,1666.68,1709.12,138,116.4,177
57.4,71.1,1734.36,1891.4,137,116.4,175.6666667
56.2,73.4,1830.48,1579.76,134,115.4,174.6666667
53.1,73.9,2066.76,1405.32,133,114.8,178
51.4,75,2317.56,2071.72,135,116.6,177
51.6,73.4,2325.12,2005.08,135,118.4,176
50.7,72.3,2442,1703.24,137,118.2,174.3333333
49.6,73.5,2457.6,1507.24,133,116.4,176
50.7,73.9,2483.04,1813,132,119.4,176
50.3,71.9,2444.64,968.24,131,117.8,177.3333333
53.7,72.8,2479.2,1470,134,119.4,177.6666667
57.1,71.6,2503.08,1991.36,138,119.4,177
61.9,70.3,2508.24,2410.8,139,118.8,176.6666667
66.2,69.2,2505.24,2353.96,140,118.4,175.6666667
65.9,68.2,2492.76,2148.16,139,117.2,173
63.2,66.8,2448,1448.44,136,115,174.3333333
63,66.7,2492.28,2132.48,140,116,174.6666667
60.6,66.2,2509.08,2500.96,144,116.8,174
58.2,65.8,2508.6,2487.24,147,119.2,173.6666667
56.4,67,2504.04,2410.8,150,120,172.3333333
54.6,67,2474.64,1918.84,150,120.8,171
53.4,66.2,2459.04,1669.92,146,121.6,172
53.2,66.3,2495.4,2252.04,146,123.4,172.3333333
53,65.8,2509.08,2463.72,144,123,171.6666667
52.8,65.3,2508.6,2461.76,143,122,171
52.7,65,2501.16,2346.12,142,121,170
52,64.8,2484.6,2065.84,142,119.6,168.6666667
50.8,64.7,2460.48,1599.36,140,118.8,170.6666667
50.8,65.4,2499.84,2022.72,140,119.6,170.6666667
49.7,64.7,2502.96,2197.16,137,120.8,170.3333333
49.2,64.5,2503.68,2042.32,136,121.2,170
49.4,64.3,2501.28,2161.88,135,121.6,168.3333333
49.9,63.8,2468.88,1499.4,133,122.8,168
50.4,63.4,2459.52,1385.72,132,123.4,170
51,63.8,2497.08,2010.96,133,125.6,167.3333333
50.8,61.8,2411.52,591.92,130,123.4,172
53.3,64.2,2385.84,2003.12,134,126.6,171.6666667
55.3,65.5,2215.32,2046.24,135,125.8,171.3333333
61.5,67.1,2190.12,1973.72,136,125,170.6666667
68.3,69.1,1250.28,1417.08,136,123.2,172.3333333
81.1,76,1246.56,2093.28,140,124.2,168.6666667
91.9,76.4,1485.24,640.92,138,120.4,173
94,79,1346.88,1842.4,142,122.6,172.3333333
99.1,79.9,1139.28,1789.48,142,121.8,172.3333333
99.8,80.5,831.36,1814.96,141,121.2,169.6666667
105.1,78.8,801.84,1054.48,140,119.2,172
104.3,80.5,777.36,1952.16,139,121,171.3333333
97.8,79.8,928.56,2065.84,138,120.6,168
91.3,76.8,872.16,876.12,134,118,170.6666667
