lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y
3090,3017.5,2398.56,1102.8628,106,161.76,161.04,106.625,268.33,274.217,436.179,565.565,259.478,421.412,547.835,556.835,559.728,765.728,977.639,556.782,762.866,962.912
3087,3091.3,2486.4,1492.7068,114,161.52,161.04,109.35,268.376,274.253,433.173,556.741,262.396,409.708,533.344,559.708,559.731,765.734,977.648,556.825,762.854,965.838
3070.4,3088.3,2482.44,1627.2412,114,160.56,160.8,109.354,268.284,274.181,424.371,547.836,256.588,409.696,530.176,556.763,556.786,765.75,977.666,553.908,762.888,965.9
3050.5,3071.7,2463.24,1592.0788,116,159.6,160.08,109.378,268.31,274.198,427.261,533.231,256.561,403.761,518.49,556.801,556.838,765.732,977.765,556.757,762.873,962.988
3064.2,3051.9,2439.12,1422.382,116,159.6,160.32,109.394,268.305,271.418,418.434,524.306,259.505,400.775,506.619,556.761,556.818,765.838,977.652,553.884,762.812,962.953
3091,3065.4,2457.96,1512.5812,120,161.04,161.28,109.448,268.314,274.174,412.634,503.913,259.513,392.043,486.155,556.752,556.817,765.699,977.671,553.882,762.856,962.96
3010.3,3092.4,2488.8,1547.7436,122,156.48,156.96,109.508,268.282,271.413,412.496,486.142,256.614,394.892,471.408,556.747,556.783,765.762,977.627,553.867,762.893,959.994
3086.5,3011.5,2395.32,1238.926,112,160.32,160.56,112.354,265.42,271.255,397.818,459.677,253.643,374.255,418.474,553.851,553.909,765.668,977.631,550.956,762.856,962.92
3039.4,3087.8,2485.68,2166.1432,120,157.68,157.92,112.397,265.378,271.201,388.99,435.986,253.581,365.506,392.062,556.785,556.817,762.899,977.66,553.871,762.81,957.015
3055.8,3040.7,2430,1972.75,114,158.64,158.64,115.283,265.425,271.264,391.976,418.491,253.666,406.657,409.62,553.909,556.758,762.868,977.671,553.856,762.78,954.221
3064.4,3057.2,2450.04,1975.0432,114,158.88,158.64,115.279,265.416,271.306,418.44,412.607,250.756,412.69,388.909,556.825,556.835,765.686,977.631,553.914,762.886,957.079
3091.4,3065.5,2459.76,2090.4676,114,160.32,160.56,115.294,268.172,271.408,424.317,389.091,250.746,409.602,380.133,556.793,559.683,762.842,977.671,553.878,759.88,957.091
3089,3092.7,2492.16,2270.1016,120,160.08,160.8,115.314,265.386,271.315,418.516,386.134,250.738,409.508,365.382,553.842,553.887,762.863,977.612,550.95,762.751,957.041
3048.3,3090.3,2488.44,1970.4568,118,157.68,158.16,115.303,265.32,271.263,415.579,377.202,250.709,406.697,344.969,550.904,550.909,762.858,977.668,550.847,759.831,957.095
3071.2,3049.5,2440.44,1625.7124,112,158.64,158.88,115.305,265.285,271.172,418.4,359.559,250.742,406.671,338.913,550.83,550.861,762.849,977.726,547.947,756.877,954.169
3029.1,3072.5,2465.88,1388.7484,114,156.48,156.72,115.301,262.436,268.374,418.403,347.767,250.731,406.562,333.103,550.856,550.914,762.857,977.654,547.964,762.722,957.1
3065.3,3030.3,2413.2,1154.842,110,158.4,158.16,115.284,262.38,268.279,415.612,339.016,250.652,406.596,321.371,550.917,553.799,762.89,977.635,550.821,762.71,957.126
3085,3066.5,2458.68,1850.446,112,159.6,159.6,115.27,256.608,268.203,418.482,333.057,250.636,406.594,318.401,550.842,550.908,765.662,977.612,547.952,762.71,959.978
3089.3,3086.4,2480.16,1711.3252,112,160.08,161.28,115.268,259.519,268.227,418.452,321.263,250.679,403.774,315.473,550.819,550.853,762.872,977.636,547.93,759.883,957.124
3084.4,3090.7,2487.24,1473.5968,112,159.6,161.28,112.424,253.587,262.394,418.488,315.323,247.793,403.705,306.598,550.895,550.936,762.804,977.677,550.816,762.701,954.233
